Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen16,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,16,9,0
NEAT-_gen16,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,16,9,0
NEAT-_gen18,NEAT-_gen24,12,13,0
NEAT-_gen18,NEAT-_gen01,16,9,0
NEAT-_gen18,NEAT-_gen02,12,13,0
NEAT-_gen18,NEAT-_gen03,9,16,0
NEAT-_gen18,NEAT-_gen09,8,17,0
NEAT-_gen18,NEAT-_gen25,9,16,0
NEAT-_gen18,NEAT-_gen04,9,16,0
NEAT-_gen18,NEAT-_gen12,17,8,0
NEAT-_gen18,NEAT-_gen15,15,10,0
NEAT-_gen18,NEAT-_gen21,15,10,0
NEAT-_gen18,NEAT-_gen11,17,8,0
NEAT-_gen18,NEAT-_gen07,11,14,0
NEAT-_gen18,NEAT-_gen22,11,14,0
NEAT-_gen18,NEAT-_gen23,10,15,0
NEAT-_gen18,NEAT-_gen05,12,13,0
NEAT-_gen18,NEAT-_gen06,6,19,0
NEAT-_gen18,NEAT-_gen28,9,16,0
NEAT-_gen18,NEAT-_gen30,14,11,0
NEAT-_gen18,NEAT-_gen13,15,10,0
NEAT-_gen18,NEAT-_gen19,17,8,0
NEAT-_gen18,NEAT-_gen26,14,11,0
NEAT-_gen18,NEAT-_gen27,11,14,0
NEAT-_gen18,NEAT-_gen29,13,12,0
NEAT-_gen18,NEAT-_gen17,14,11,0
NEAT-_gen18,NEAT-_gen20,12,13,0
NEAT-_gen18,NEAT-_gen01_extended_20250510-091729,15,10,0
NEAT-_gen18,NEAT-_gen03_extended_20250510-091729,14,11,0
NEAT-_gen18,NEAT-_gen09_extended_20250510-091729,11,14,0
NEAT-_gen18,NEAT-_gen15_extended_20250510-091729,14,11,0
NEAT-_gen18,NEAT-_gen24_extended_20250510-091729,9,16,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192621,14,11,0
NEAT-_gen18,AlphaGo-128_g1000_e10_20250509-072804,9,16,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192146,15,10,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192808,10,15,0
NEAT-_gen18,AlphaGo-64_g100_e5_20250509-080406,12,13,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192146,10,15,0
NEAT-_gen18,AlphaGo-64_g10_e3_20250325-192808,16,9,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192621,18,7,0
NEAT-_gen18,AlphaGo-256_g2000_e20_20250509-080407,10,15,0
NEAT-_gen18,AlphaGo-64_g100_e5_20250509-072802,13,12,0
NEAT-_gen18,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,12,13,0
NEAT-_gen18,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,14,11,0
NEAT-_gen24,NEAT-_gen01,16,9,0
NEAT-_gen24,NEAT-_gen02,9,16,0
NEAT-_gen24,NEAT-_gen03,10,15,0
NEAT-_gen24,NEAT-_gen09,15,10,0
NEAT-_gen24,NEAT-_gen25,14,11,0
NEAT-_gen24,NEAT-_gen04,8,17,0
NEAT-_gen24,NEAT-_gen12,14,11,0
NEAT-_gen24,NEAT-_gen15,14,11,0
NEAT-_gen24,NEAT-_gen21,11,14,0
NEAT-_gen24,NEAT-_gen11,12,13,0
NEAT-_gen24,NEAT-_gen07,10,15,0
NEAT-_gen24,NEAT-_gen22,6,19,0
NEAT-_gen24,NEAT-_gen23,9,16,0
NEAT-_gen24,NEAT-_gen05,10,15,0
NEAT-_gen24,NEAT-_gen06,7,18,0
NEAT-_gen24,NEAT-_gen28,11,14,0
NEAT-_gen24,NEAT-_gen30,15,10,0
NEAT-_gen24,NEAT-_gen13,16,9,0
NEAT-_gen24,NEAT-_gen19,15,10,0
NEAT-_gen24,NEAT-_gen26,14,11,0
NEAT-_gen24,NEAT-_gen27,14,11,0
NEAT-_gen24,NEAT-_gen29,14,11,0
NEAT-_gen24,NEAT-_gen17,12,13,0
NEAT-_gen24,NEAT-_gen20,11,14,0
NEAT-_gen24,NEAT-_gen01_extended_20250510-091729,13,12,0
NEAT-_gen24,NEAT-_gen03_extended_20250510-091729,10,15,0
NEAT-_gen24,NEAT-_gen09_extended_20250510-091729,13,12,0
NEAT-_gen24,NEAT-_gen15_extended_20250510-091729,15,10,0
NEAT-_gen24,NEAT-_gen24_extended_20250510-091729,8,17,0
NEAT-_gen24,AlphaGo-64_g10_e3_20250325-192621,9,16,0
NEAT-_gen24,AlphaGo-128_g1000_e10_20250509-072804,10,15,0
NEAT-_gen24,AlphaGo-128_g20_e6_20250325-192146,12,13,0
NEAT-_gen24,AlphaGo-128_g20_e6_20250325-192808,14,11,0
NEAT-_gen24,AlphaGo-64_g100_e5_20250509-080406,14,11,0
NEAT-_gen24,AlphaGo-64_g10_e3_20250325-192146,11,14,0
NEAT-_gen24,AlphaGo-64_g10_e3_20250325-192808,14,11,0
NEAT-_gen24,AlphaGo-128_g20_e6_20250325-192621,14,11,0
NEAT-_gen24,AlphaGo-256_g2000_e20_20250509-080407,15,10,0
NEAT-_gen24,AlphaGo-64_g100_e5_20250509-072802,10,15,0
NEAT-_gen24,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,7,18,0
NEAT-_gen24,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,12,13,0
NEAT-_gen01,NEAT-_gen02,10,15,0
NEAT-_gen01,NEAT-_gen03,9,16,0
NEAT-_gen01,NEAT-_gen09,11,14,0
NEAT-_gen01,NEAT-_gen25,12,13,0
NEAT-_gen01,NEAT-_gen04,10,15,0
NEAT-_gen01,NEAT-_gen12,16,9,0
NEAT-_gen01,NEAT-_gen15,9,16,0
NEAT-_gen01,NEAT-_gen21,16,9,0
NEAT-_gen01,NEAT-_gen11,12,13,0
NEAT-_gen01,NEAT-_gen07,13,12,0
NEAT-_gen01,NEAT-_gen22,12,13,0
NEAT-_gen01,NEAT-_gen23,6,19,0
NEAT-_gen01,NEAT-_gen05,12,13,0
NEAT-_gen01,NEAT-_gen06,11,14,0
NEAT-_gen01,NEAT-_gen28,14,11,0
NEAT-_gen01,NEAT-_gen30,19,6,0
NEAT-_gen01,NEAT-_gen13,13,12,0
NEAT-_gen01,NEAT-_gen19,13,12,0
NEAT-_gen01,NEAT-_gen26,15,10,0
NEAT-_gen01,NEAT-_gen27,13,12,0
NEAT-_gen01,NEAT-_gen29,14,11,0
NEAT-_gen01,NEAT-_gen17,20,5,0
NEAT-_gen01,NEAT-_gen20,8,17,0
NEAT-_gen01,NEAT-_gen01_extended_20250510-091729,14,11,0
NEAT-_gen01,NEAT-_gen03_extended_20250510-091729,12,13,0
NEAT-_gen01,NEAT-_gen09_extended_20250510-091729,13,12,0
NEAT-_gen01,NEAT-_gen15_extended_20250510-091729,17,8,0
NEAT-_gen01,NEAT-_gen24_extended_20250510-091729,11,14,0
NEAT-_gen01,AlphaGo-64_g10_e3_20250325-192621,11,14,0
NEAT-_gen01,AlphaGo-128_g1000_e10_20250509-072804,12,13,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192146,15,10,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192808,8,17,0
NEAT-_gen01,AlphaGo-64_g100_e5_20250509-080406,10,15,0
NEAT-_gen01,AlphaGo-64_g10_e3_20250325-192146,13,12,0
NEAT-_gen01,AlphaGo-64_g10_e3_20250325-192808,13,12,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192621,13,12,0
NEAT-_gen01,AlphaGo-256_g2000_e20_20250509-080407,14,11,0
NEAT-_gen01,AlphaGo-64_g100_e5_20250509-072802,11,14,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,14,11,0
NEAT-_gen01,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,12,13,0
NEAT-_gen02,NEAT-_gen03,11,14,0
NEAT-_gen02,NEAT-_gen09,11,14,0
NEAT-_gen02,NEAT-_gen25,14,11,0
NEAT-_gen02,NEAT-_gen04,14,11,0
NEAT-_gen02,NEAT-_gen12,12,13,0
NEAT-_gen02,NEAT-_gen15,12,13,0
NEAT-_gen02,NEAT-_gen21,10,15,0
NEAT-_gen02,NEAT-_gen11,15,10,0
NEAT-_gen02,NEAT-_gen07,12,13,0
NEAT-_gen02,NEAT-_gen22,11,14,0
NEAT-_gen02,NEAT-_gen23,14,11,0
NEAT-_gen02,NEAT-_gen05,16,9,0
NEAT-_gen02,NEAT-_gen06,6,19,0
NEAT-_gen02,NEAT-_gen28,13,12,0
NEAT-_gen02,NEAT-_gen30,7,18,0
NEAT-_gen02,NEAT-_gen13,11,14,0
NEAT-_gen02,NEAT-_gen19,17,8,0
NEAT-_gen02,NEAT-_gen26,11,14,0
NEAT-_gen02,NEAT-_gen27,10,15,0
NEAT-_gen02,NEAT-_gen29,17,8,0
NEAT-_gen02,NEAT-_gen17,17,8,0
NEAT-_gen02,NEAT-_gen20,19,6,0
NEAT-_gen02,NEAT-_gen01_extended_20250510-091729,15,10,0
NEAT-_gen02,NEAT-_gen03_extended_20250510-091729,16,9,0
NEAT-_gen02,NEAT-_gen09_extended_20250510-091729,11,14,0
